UserId,RawTrackToken,EnrichedTrackToken,StartDate,EndDate,StartDateUTC,EndDateUTC,CityStart,CityFinish,AddressStart,AddressFinish,CurrentTransportType,DetectedTransportType,TransportTypeProbability,Duration,Mileage(km),AverageSpeed,SafetyScore,AccelerationScore,BrakingScore,CorneringScore,SpeedingScore,PhoneUsageScore,AccelerationCount,BrakingCount,CorneringCount,TotalOverspeeding(km),TotalOverspeeding(mi),PhoneUsageDuration(min),PhoneUsageDistance(km),PhoneUsageDistance(mi),PhoneUsageWithOverspeedingDuration(min),PhoneUsageWithOverspeedingDistance(km),PhoneUsageWithOverspeedingDistance(mi),EcoScore,EcoScoreBrakes,EcoScoreDepreciation,EcoScoreFuel,EcoScoreTyres,VehicleToken,Tags,HiddenFromApp,RawTrackId
"4577eae9-f3a9-4bcb-8552-4d250aec9c88","65225802-213a-480f-984a-8a873db98549","1772fa42-dd69-4721-89b2-e8a9d319897c","2023-03-06T08:09:29+02:00","2023-03-06T08:22:25+02:00","2023-03-06T06:09:29+00:00","2023-03-06T06:22:25+00:00","Αθήνα","Αθήνα","Πλατεία Μάχης Αναλάτου 5  117 44 Αθήνα  Ελλάδα","Νισύρου 2  104 38 Αθήνα  Ελλάδα","Motorcycle","OriginalDriver","0.7961666666666666","12.933333333333334","6.41","31.7402160390867","69","40","59","100","63","100","3","1","0","0.6080246386941262","0.38","0","0","0","0","0","0","98","100","100","97","100","","","false","923190607"
"4577eae9-f3a9-4bcb-8552-4d250aec9c88","c0ad3479-ff66-4866-a24b-2ee9b18d5938","99babcc4-0c51-4a0f-a484-175e62ccb109","2023-03-06T09:11:10+02:00","2023-03-06T09:25:08+02:00","2023-03-06T07:11:10+00:00","2023-03-06T07:25:08+00:00","Αθήνα","Πειραιάς","Δηληγιάννη Θεόδωρου 24  104 38 Αθήνα  Ελλάδα","Μαραθώνος 1  185 40 Πειραιάς  Ελλάδα","Motorcycle","OriginalDriver","0.7680000000000001","13.966666666666667","7.85","36.07635379445731","85","100","64","100","61","100","0","1","0","0.9178028575796081","0.57","0","0","0","0","0","0","94","0","100","99","100","","","false","923191396"
"4577eae9-f3a9-4bcb-8552-4d250aec9c88","93f5f79b-bc8c-4de4-9c67-be616485cdd1","b0da4f54-32cf-46d9-803f-15c5d92b9529","2023-03-06T11:13:34+02:00","2023-03-06T11:23:54+02:00","2023-03-06T09:13:34+00:00","2023-03-06T09:23:54+00:00","Πειραιάς","Ταύρος","Υψηλάντου 10  185 32 Πειραιάς  Ελλάδα","Τεώ 21  177 78 Ταύρος  Ελλάδα","Motorcycle","OriginalDriver","0.7221039505311876","10.333333333333334","6.26","35.733637595483316","71","53","40","100","95","100","1","2","0","0.16419241578519725","0.1","0","0","0","0","0","0","85","0","75","97","100","","","false","923193610"
"4577eae9-f3a9-4bcb-8552-4d250aec9c88","52c35555-91c3-424e-b426-40a474851593","c8d171ed-ce85-4c03-96d4-ca4db0f35f88","2023-03-06T14:49:16+02:00","2023-03-06T14:55:28+02:00","2023-03-06T12:49:16+00:00","2023-03-06T12:55:28+00:00","Ταύρος","Αθήνα","Αγίας Σοφίας 46  177 78 Ταύρος  Ελλάδα","Κατζαντώνη Προκοπίου 1  117 44 Αθήνα  Ελλάδα","Motorcycle","OriginalDriver","0.7499999999999999","6.2","3.16","39.562541124854555","72","100","42","100","63","100","0","1","0","0.30186063926421774","0.19","0","0","0","0","0","0","86","0","75","98","100","","","false","923198097"
"835bc375-038c-4cc1-9d11-afa65ba637e6","28f6b4d5-4881-426f-a305-51639ddb4930","801bcfbb-bae3-41c8-9b55-a77e754a9f7b","2023-03-08T07:17:53+02:00","2023-03-08T07:52:10+02:00","2023-03-08T05:17:53+00:00","2023-03-08T05:52:10+00:00","Νίκαια","Ασπρόπυργος","Ελλησπόντου 33  184 51 Νίκαια  Ελλάδα","Ανατολικής Ρωμυλίας  192 00 Ασπρόπυργος  Ελλάδα","OriginalDriver","","0.7321666666666666","34.28333333333333","23.35","53.21460831653657","85","100","77","72","61","74","0","1","1","2.0159652670959067","1.25","0.4496833333333333","0.4804641240696372","0.3","0","0","0","88","25","75","100","100","","","false","923254308"
"835bc375-038c-4cc1-9d11-afa65ba637e6","33a536a2-cd55-4816-ad78-28ae856b62e2","d62bd579-42ee-44a0-b952-4db50014e567","2023-03-08T13:46:04+02:00","2023-03-08T14:19:40+02:00","2023-03-08T11:46:04+00:00","2023-03-08T12:19:40+00:00","Ασπρόπυργος","Νίκαια","Κούρων  192 00 Ασπρόπυργος  Ελλάδα","Ηρακλέους 45  184 51 Νίκαια  Ελλάδα","OriginalDriver","","0.7328333333333333","33.6","24.38","57.658890423283225","74","100","100","100","40","100","0","0","0","2.27662557556761","1.41","0","0","0","0","0","0","77","100","25","100","100","","","false","923261783"
"041b5560-9243-4d97-bd5b-57a6e5f67b9d","ec614a27-f54a-43af-bf37-7a60c6f6f479","64b6e89f-d232-497c-88d9-1b4226f942dd","2023-03-08T17:27:13+02:00","2023-03-08T17:50:37+02:00","2023-03-08T15:27:13+00:00","2023-03-08T15:50:37+00:00","Ταύρος","Καισαριανή","Βρυούλων 8  177 78 Ταύρος  Ελλάδα","Κουντουριώτη 15  161 22 Καισαριανή  Ελλάδα","OriginalDriver","","0.742","23.400000000000002","7.33","26.074930654340328","86","62","58","100","100","86","1","1","0","0.2674513219489329","0.17","0.36898333333333333","0.17837449419992893","0.11","0","0","0","99","100","100","98","100","","","false","923265339"
"041b5560-9243-4d97-bd5b-57a6e5f67b9d","19017ad4-f2e3-4bee-8c6f-3fca20ea4e92","bc8a75fc-b3e9-4844-a588-3b406d018e0b","2023-03-08T18:45:06+02:00","2023-03-08T18:56:54+02:00","2023-03-08T16:45:06+00:00","2023-03-08T16:56:54+00:00","Καισαριανή","Καισαριανή","Λεωφόρος Εθνικής Αντιστάσεως 201  161 22 Καισαριανή  Ελλάδα","Λεωφόρος Εθνικής Αντιστάσεως 201  161 22 Καισαριανή  Ελλάδα","OriginalDriver","","0.6847519256442546","11.8","4.2","21.74187431006913","85","100","48","100","100","86","0","1","0","0.159298607114773","0.1","0.35","0.1481896140032192","0.09","0","0","0","94","0","100","98","100","","","false","923266412"
"041b5560-9243-4d97-bd5b-57a6e5f67b9d","a8761eed-cb3e-4446-8803-aa6944719b8f","117ee9d5-c770-4d2f-95e6-18ddca33e34c","2023-03-08T19:28:55+02:00","2023-03-08T19:39:29+02:00","2023-03-08T17:28:55+00:00","2023-03-08T17:39:29+00:00","Καισαριανή","Αθήνα","Κουντουριώτη 12  161 22 Καισαριανή  Ελλάδα","Διοχάρους 26  161 21 Αθήνα  Ελλάδα","OriginalDriver","","0.6791702076970444","10.566666666666666","3.01","22.482783332529586","100","100","100","100","100","100","0","0","0","0.38338080855483897","0.24","0","0","0","0","0","0","100","100","100","100","100","","","false","923267048"
"041b5560-9243-4d97-bd5b-57a6e5f67b9d","ec5f63c3-bbd3-429a-a84b-15deba62a0b2","07967a8e-d71f-4418-a9a8-67328c607f7d","2023-03-08T20:43:20+02:00","2023-03-08T20:46:42+02:00","2023-03-08T18:43:20+00:00","2023-03-08T18:46:42+00:00","Αθήνα","Καισαριανή","Διοχάρους 22  161 21 Αθήνα  Ελλάδα","Ηρώων Πολυτεχνείου 46  161 21 Καισαριανή  Ελλάδα","OriginalDriver","","0.6556434553072263","3.3666666666666667","0.97","19.29971595001806","100","100","100","100","100","100","0","0","0","0.010772169679212401","0.01","0","0","0","0","0","0","92","100","75","100","100","","","false","923267975"
